,email,product,rating,salary,Age,user_id,Status
40,cust15934@gmail.com,Taxes,5.0,119262,28,15934,ACTIVE
41,cust15935@gmail.com,Funds,4.0,16112,56,15935,ACTIVE
42,cust15936@gmail.com,particular Plus Account,4.0,76771,34,15936,ACTIVE
43,cust15937@gmail.com,Payroll,3.0,118641,32,15937,ACTIVE
44,cust15938@gmail.com,Securities,4.5,119161,32,15938,ACTIVE
45,cust15939@gmail.com,Taxes,4.0,137941,18,15939,ACTIVE
46,cust15940@gmail.com,Payroll,1.0,143385,34,15940,CHURN
47,cust15941@gmail.com,Payroll,4.0,79765,46,15941,ACTIVE
48,cust15942@gmail.com,Guarantees,2.0,132094,41,15942,ACTIVE
49,cust15943@gmail.com,Home Account,2.0,58449,18,15943,ACTIVE
50,cust15944@gmail.com,particular Plus Account,1.0,75256,56,15944,CHURN
51,cust15945@gmail.com,Saving Account,5.0,72716,49,15945,ACTIVE
52,cust15947@gmail.com,Loans,5.0,135275,30,15947,ACTIVE
53,cust15948@gmail.com,Junior Account,4.5,143597,28,15948,ACTIVE
54,cust15949@gmail.com,Long-term deposits,5.0,30123,32,15949,ACTIVE
55,cust15950@gmail.com,Pensions,2.0,68983,60,15950,ACTIVE
56,cust15951@gmail.com,Payroll Account,2.0,10864,28,15951,ACTIVE
57,cust15952@gmail.com,Derivada Account,4.0,20091,32,15952,ACTIVE
58,cust15954@gmail.com,Credit Card,3.0,113064,57,15954,ACTIVE
59,cust15956@gmail.com,Current Accounts,3.0,101556,19,15956,ACTIVE
60,cust15957@gmail.com,Pensions,5.0,11203,73,15957,ACTIVE
61,cust15958@gmail.com,Taxes,2.5,99455,46,15958,ACTIVE
62,cust15959@gmail.com,Payroll,5.0,138541,24,15959,ACTIVE
63,cust15960@gmail.com,Saving Account,3.0,40872,50,15960,ACTIVE
64,cust15961@gmail.com,Taxes,3.0,72591,48,15961,ACTIVE
65,cust15962@gmail.com,Taxes,2.0,38126,34,15962,ACTIVE
66,cust15964@gmail.com,e-account,4.5,17281,27,15964,ACTIVE
67,cust15965@gmail.com,Mortgage,4.5,10401,47,15965,ACTIVE
68,cust15967@gmail.com,particular Plus Account,5.0,27196,35,15967,ACTIVE
69,cust15969@gmail.com,particular Plus Account,4.5,103318,20,15969,ACTIVE
70,cust15972@gmail.com,Mas particular Account,3.5,54117,28,15972,ACTIVE
71,cust15973@gmail.com,Funds,4.0,47331,58,15973,ACTIVE
72,cust15974@gmail.com,Home Account,5.0,45665,29,15974,ACTIVE
73,cust15975@gmail.com,Current Accounts,4.0,49087,57,15975,ACTIVE
74,cust15976@gmail.com,Pensions,5.0,132479,78,15976,ACTIVE
75,cust15977@gmail.com,Direct Debit,2.5,28165,54,15977,ACTIVE
76,cust15978@gmail.com,Mortgage,3.0,104869,41,15978,ACTIVE
77,cust15979@gmail.com,e-account,4.5,79917,55,15979,ACTIVE
78,cust15980@gmail.com,Junior Account,4.5,108001,26,15980,ACTIVE
79,cust15981@gmail.com,Loans,4.5,100973,32,15981,ACTIVE
80,cust15982@gmail.com,Saving Account,5.0,78174,42,15982,ACTIVE
81,cust15983@gmail.com,Payroll Account,4.0,27525,38,15983,ACTIVE
82,cust15984@gmail.com,particular Plus Account,3.0,12482,22,15984,ACTIVE
83,cust15985@gmail.com,Long-term deposits,3.0,121582,37,15985,ACTIVE
84,cust15986@gmail.com,Short-term deposits,4.0,73463,43,15986,ACTIVE
85,cust15987@gmail.com,Credit Card,3.0,35045,52,15987,ACTIVE
86,cust15988@gmail.com,Guarantees,3.0,147628,55,15988,ACTIVE
87,cust15989@gmail.com,Mortgage,5.0,82055,48,15989,ACTIVE
88,cust15990@gmail.com,particular Plus Account,3.0,30368,54,15990,ACTIVE
89,cust15991@gmail.com,Direct Debit,5.0,115909,42,15991,ACTIVE
90,cust15992@gmail.com,Payroll Account,3.5,119031,49,15992,ACTIVE
91,cust15993@gmail.com,Saving Account,5.0,85064,20,15993,ACTIVE
92,cust15994@gmail.com,Securities,3.5,49954,43,15994,ACTIVE
93,cust15995@gmail.com,Credit Card,3.5,95977,52,15995,ACTIVE
94,cust15996@gmail.com,Mas particular Account,1.0,88637,55,15996,CHURN
95,cust15997@gmail.com,Funds,5.0,20005,28,15997,ACTIVE
96,cust15998@gmail.com,Funds,3.5,103137,27,15998,ACTIVE
97,cust15999@gmail.com,Medium-term deposits,2.5,68268,39,15999,ACTIVE
98,cust16000@gmail.com,Payroll,4.0,48963,28,16000,ACTIVE
99,cust16001@gmail.com,Mas particular Account,4.5,115988,41,16001,ACTIVE
100,cust16002@gmail.com,Payroll Account,3.0,90839,21,16002,ACTIVE
101,cust16003@gmail.com,Long-term deposits,3.5,133625,25,16003,ACTIVE
102,cust16004@gmail.com,particular Plus Account,4.5,132425,23,16004,ACTIVE
103,cust16005@gmail.com,Loans,4.0,98214,54,16005,ACTIVE
104,cust16007@gmail.com,Short-term deposits,5.0,39060,42,16007,ACTIVE
105,cust16008@gmail.com,e-account,4.0,88583,50,16008,ACTIVE
106,cust16009@gmail.com,particular Account,3.0,143023,50,16009,ACTIVE
107,cust16010@gmail.com,Pensions,3.0,104496,71,16010,ACTIVE
108,cust16011@gmail.com,Securities,3.0,77492,30,16011,ACTIVE
109,cust16013@gmail.com,Pensions,3.0,77025,73,16013,ACTIVE
110,cust16017@gmail.com,Short-term deposits,4.0,43697,22,16017,ACTIVE
111,cust16018@gmail.com,Funds,4.5,135167,40,16018,ACTIVE
112,cust16019@gmail.com,Home Account,3.5,74145,53,16019,ACTIVE
113,cust16022@gmail.com,Credit Card,4.0,83689,36,16022,ACTIVE
114,cust16024@gmail.com,Securities,5.0,116770,29,16024,ACTIVE
115,cust16025@gmail.com,Mas particular Account,5.0,53344,31,16025,ACTIVE
116,cust16026@gmail.com,Mortgage,1.0,51554,58,16026,CHURN
117,cust16027@gmail.com,Long-term deposits,4.0,80611,34,16027,ACTIVE
118,cust16028@gmail.com,Medium-term deposits,5.0,114235,45,16028,ACTIVE
119,cust16029@gmail.com,Taxes,3.0,79761,32,16029,ACTIVE
120,cust16031@gmail.com,Long-term deposits,3.0,39562,38,16031,ACTIVE
121,cust16033@gmail.com,Taxes,3.0,106828,23,16033,ACTIVE
122,cust16034@gmail.com,Pensions,4.0,70644,68,16034,ACTIVE
123,cust16036@gmail.com,Guarantees,3.0,41438,55,16036,ACTIVE
124,cust16038@gmail.com,Long-term deposits,3.0,99135,19,16038,ACTIVE
125,cust16039@gmail.com,Derivada Account,4.0,39405,50,16039,ACTIVE
126,cust16040@gmail.com,Current Accounts,3.5,110552,24,16040,ACTIVE
127,cust16041@gmail.com,Mas particular Account,3.5,91030,32,16041,ACTIVE
128,cust16042@gmail.com,Pensions,2.0,11857,79,16042,ACTIVE
129,cust16043@gmail.com,Pensions,5.0,133621,77,16043,ACTIVE
130,cust16046@gmail.com,Saving Account,5.0,56967,38,16046,ACTIVE
131,cust16047@gmail.com,Payroll,5.0,19895,23,16047,ACTIVE
132,cust16048@gmail.com,Taxes,3.0,68961,42,16048,ACTIVE
133,cust16049@gmail.com,Pensions,4.0,77121,79,16049,ACTIVE
134,cust16050@gmail.com,Mortgage,3.5,64402,39,16050,ACTIVE
135,cust16051@gmail.com,Loans,4.5,88714,32,16051,ACTIVE
136,cust16052@gmail.com,Pensions,3.5,20733,72,16052,ACTIVE
137,cust16053@gmail.com,Pensions,4.5,89359,74,16053,ACTIVE
138,cust16055@gmail.com,Taxes,3.5,58771,58,16055,ACTIVE
139,cust16056@gmail.com,Direct Debit,4.0,109630,41,16056,ACTIVE
140,cust16060@gmail.com,Junior Account,3.0,147255,19,16060,ACTIVE
141,cust16062@gmail.com,Funds,2.5,131175,38,16062,ACTIVE
142,cust16063@gmail.com,Junior Account,4.5,64838,18,16063,ACTIVE
143,cust16064@gmail.com,Mas particular Account,5.0,48845,38,16064,ACTIVE
144,cust16065@gmail.com,Short-term deposits,4.0,20865,59,16065,ACTIVE
145,cust16067@gmail.com,Junior Account,2.5,68511,38,16067,ACTIVE
146,cust16070@gmail.com,Taxes,5.0,14877,52,16070,ACTIVE
147,cust16073@gmail.com,Home Account,3.0,27264,21,16073,ACTIVE
148,cust16074@gmail.com,Long-term deposits,5.0,119908,31,16074,ACTIVE
149,cust16075@gmail.com,Taxes,3.0,99627,46,16075,ACTIVE
150,cust16078@gmail.com,Guarantees,5.0,71610,40,16078,ACTIVE
151,cust16082@gmail.com,Medium-term deposits,3.0,10005,23,16082,ACTIVE
152,cust16083@gmail.com,Mortgage,5.0,15940,42,16083,ACTIVE
153,cust16085@gmail.com,Mortgage,3.0,62135,40,16085,ACTIVE
154,cust16088@gmail.com,particular Plus Account,4.0,105477,21,16088,ACTIVE
155,cust16090@gmail.com,Mortgage,4.5,130293,57,16090,ACTIVE
156,cust16093@gmail.com,Short-term deposits,3.0,79454,32,16093,ACTIVE
157,cust16094@gmail.com,Short-term deposits,3.5,135266,27,16094,ACTIVE
158,cust16095@gmail.com,Current Accounts,1.0,82493,43,16095,CHURN
159,cust16098@gmail.com,Taxes,3.5,148704,20,16098,ACTIVE
160,cust16099@gmail.com,Taxes,3.0,136479,52,16099,ACTIVE
161,cust16100@gmail.com,Payroll Account,4.0,22767,52,16100,ACTIVE
162,cust16101@gmail.com,Current Accounts,5.0,115484,27,16101,ACTIVE
163,cust16102@gmail.com,Long-term deposits,3.0,111056,23,16102,ACTIVE
164,cust16103@gmail.com,Junior Account,4.0,71852,44,16103,ACTIVE
165,cust16105@gmail.com,Pensions,4.0,23229,64,16105,ACTIVE
166,cust16110@gmail.com,Home Account,1.0,85710,45,16110,CHURN
167,cust16111@gmail.com,Taxes,4.5,147426,59,16111,ACTIVE
168,cust16113@gmail.com,Current Accounts,3.5,76961,43,16113,ACTIVE
169,cust16114@gmail.com,Payroll,5.0,105897,54,16114,ACTIVE
170,cust16115@gmail.com,Junior Account,4.5,77831,34,16115,ACTIVE
171,cust16117@gmail.com,Current Accounts,5.0,81917,45,16117,ACTIVE
172,cust16119@gmail.com,Direct Debit,3.5,50161,25,16119,ACTIVE
173,cust16120@gmail.com,Guarantees,3.5,129190,47,16120,ACTIVE
174,cust16121@gmail.com,Derivada Account,4.0,90479,30,16121,ACTIVE
175,cust16122@gmail.com,Mortgage,4.5,29599,26,16122,ACTIVE
176,cust16125@gmail.com,Credit Card,3.0,130777,45,16125,ACTIVE
177,cust16126@gmail.com,Saving Account,3.0,143918,18,16126,ACTIVE
178,cust16128@gmail.com,Junior Account,4.0,68751,56,16128,ACTIVE
179,cust16131@gmail.com,Long-term deposits,3.5,77315,56,16131,ACTIVE
180,cust16132@gmail.com,Junior Account,3.5,59422,38,16132,ACTIVE
181,cust16133@gmail.com,e-account,3.0,15878,36,16133,ACTIVE
182,cust16134@gmail.com,Junior Account,4.0,130240,34,16134,ACTIVE
183,cust16135@gmail.com,Derivada Account,3.5,126994,56,16135,ACTIVE
184,cust16136@gmail.com,Home Account,5.0,129585,50,16136,ACTIVE
185,cust16137@gmail.com,Saving Account,3.0,22097,24,16137,ACTIVE
186,cust16138@gmail.com,Funds,4.0,103547,24,16138,ACTIVE
187,cust16140@gmail.com,Derivada Account,5.0,48199,34,16140,ACTIVE
188,cust16141@gmail.com,Securities,4.5,130316,18,16141,ACTIVE
189,cust16145@gmail.com,Junior Account,3.5,24419,58,16145,ACTIVE
190,cust16147@gmail.com,Pensions,2.0,79760,65,16147,ACTIVE
191,cust16148@gmail.com,particular Plus Account,4.5,39409,33,16148,ACTIVE
192,cust16149@gmail.com,Mortgage,3.0,18658,20,16149,ACTIVE
193,cust16152@gmail.com,Direct Debit,4.0,110806,28,16152,ACTIVE
194,cust16153@gmail.com,Payroll Account,5.0,144554,21,16153,ACTIVE
195,cust16155@gmail.com,Direct Debit,2.5,144817,20,16155,ACTIVE
196,cust16158@gmail.com,Derivada Account,4.0,137921,31,16158,ACTIVE
197,cust16161@gmail.com,Current Accounts,4.5,144849,59,16161,ACTIVE
198,cust16162@gmail.com,Payroll Account,5.0,44523,41,16162,ACTIVE
199,cust16163@gmail.com,Long-term deposits,4.0,68656,31,16163,ACTIVE
200,cust16166@gmail.com,Medium-term deposits,4.0,70524,57,16166,ACTIVE
201,cust16167@gmail.com,Home Account,2.0,117103,53,16167,ACTIVE
202,cust16169@gmail.com,Home Account,4.5,20750,53,16169,ACTIVE
203,cust16170@gmail.com,Payroll Account,5.0,130785,22,16170,ACTIVE
204,cust16171@gmail.com,Medium-term deposits,3.0,89322,59,16171,ACTIVE
205,cust16172@gmail.com,Loans,3.0,46656,37,16172,ACTIVE
206,cust16174@gmail.com,Saving Account,4.5,108384,43,16174,ACTIVE
207,cust16176@gmail.com,Payroll Account,2.5,129977,34,16176,ACTIVE
208,cust16177@gmail.com,Payroll,4.0,120946,50,16177,ACTIVE
209,cust16179@gmail.com,Direct Debit,4.0,95249,36,16179,ACTIVE
210,cust16181@gmail.com,Loans,4.5,118494,44,16181,ACTIVE
211,cust16182@gmail.com,Guarantees,4.0,67406,34,16182,ACTIVE
212,cust16183@gmail.com,Direct Debit,4.5,74813,26,16183,ACTIVE
213,cust16185@gmail.com,Funds,4.0,138705,28,16185,ACTIVE
214,cust16187@gmail.com,Guarantees,3.0,15025,55,16187,ACTIVE
215,cust16189@gmail.com,Medium-term deposits,4.0,110576,28,16189,ACTIVE
216,cust16192@gmail.com,particular Account,4.5,138219,50,16192,ACTIVE
217,cust16193@gmail.com,Loans,3.0,41799,22,16193,ACTIVE
218,cust16194@gmail.com,Mas particular Account,4.5,144513,36,16194,ACTIVE
219,cust16195@gmail.com,Payroll Account,5.0,95755,50,16195,ACTIVE
220,cust16196@gmail.com,Securities,4.0,134713,18,16196,ACTIVE
221,cust16197@gmail.com,Saving Account,5.0,45200,28,16197,ACTIVE
222,cust16198@gmail.com,Long-term deposits,4.0,140923,58,16198,ACTIVE
223,cust16199@gmail.com,Securities,4.0,39612,56,16199,ACTIVE
224,cust16201@gmail.com,Medium-term deposits,3.0,73452,56,16201,ACTIVE
225,cust16202@gmail.com,Long-term deposits,3.0,40048,19,16202,ACTIVE
226,cust16203@gmail.com,Medium-term deposits,3.5,80806,33,16203,ACTIVE
227,cust16204@gmail.com,Securities,5.0,117981,37,16204,ACTIVE
228,cust16205@gmail.com,Guarantees,3.0,10052,55,16205,ACTIVE
229,cust16206@gmail.com,Loans,3.0,110960,50,16206,ACTIVE
230,cust16207@gmail.com,Pensions,1.0,27819,75,16207,CHURN
231,cust16208@gmail.com,Saving Account,3.0,81736,59,16208,ACTIVE
232,cust16209@gmail.com,Payroll Account,4.5,14376,46,16209,ACTIVE
233,cust16211@gmail.com,Mortgage,3.0,47794,48,16211,ACTIVE
234,cust16213@gmail.com,Payroll,4.0,23112,48,16213,ACTIVE
235,cust16216@gmail.com,Payroll Account,4.5,69844,21,16216,ACTIVE
236,cust16217@gmail.com,Pensions,5.0,73799,78,16217,ACTIVE
237,cust16222@gmail.com,Saving Account,3.0,82792,37,16222,ACTIVE
238,cust16227@gmail.com,Mas particular Account,4.0,62731,44,16227,ACTIVE
239,cust16229@gmail.com,Pensions,4.0,11722,68,16229,ACTIVE
240,cust16230@gmail.com,Taxes,4.0,123115,52,16230,ACTIVE
241,cust16231@gmail.com,Payroll Account,4.5,31318,45,16231,ACTIVE
242,cust16232@gmail.com,Current Accounts,5.0,33876,30,16232,ACTIVE
243,cust16233@gmail.com,Pensions,4.0,56338,76,16233,ACTIVE
244,cust16234@gmail.com,Pensions,3.0,42639,69,16234,ACTIVE
245,cust16235@gmail.com,Guarantees,5.0,41367,50,16235,ACTIVE
246,cust16236@gmail.com,Guarantees,3.5,75201,27,16236,ACTIVE
247,cust16238@gmail.com,Current Accounts,4.5,35015,41,16238,ACTIVE
248,cust16240@gmail.com,Derivada Account,4.0,130474,59,16240,ACTIVE
249,cust16241@gmail.com,Credit Card,3.5,74265,37,16241,ACTIVE
250,cust16242@gmail.com,Current Accounts,3.5,121988,19,16242,ACTIVE
251,cust16243@gmail.com,Saving Account,5.0,37211,18,16243,ACTIVE
252,cust16244@gmail.com,Payroll Account,4.5,72923,42,16244,ACTIVE
253,cust16245@gmail.com,Funds,3.0,145903,46,16245,ACTIVE
254,cust16246@gmail.com,particular Plus Account,3.0,76906,52,16246,ACTIVE
255,cust16247@gmail.com,Short-term deposits,2.0,94354,30,16247,ACTIVE
256,cust16249@gmail.com,particular Account,5.0,42844,25,16249,ACTIVE
257,cust16253@gmail.com,Pensions,2.5,126223,75,16253,ACTIVE
258,cust16254@gmail.com,Home Account,4.0,106000,36,16254,ACTIVE
259,cust16255@gmail.com,Home Account,4.5,28095,19,16255,ACTIVE
260,cust16256@gmail.com,Securities,4.0,113139,39,16256,ACTIVE
261,cust16257@gmail.com,Pensions,1.0,23713,73,16257,CHURN
262,cust16258@gmail.com,Mas particular Account,2.5,52455,47,16258,ACTIVE
263,cust16259@gmail.com,Home Account,3.5,28083,39,16259,ACTIVE
264,cust16261@gmail.com,Payroll Account,4.0,93550,29,16261,ACTIVE
265,cust16263@gmail.com,Payroll Account,5.0,39585,20,16263,ACTIVE
266,cust16265@gmail.com,Short-term deposits,3.0,35047,37,16265,ACTIVE
267,cust16266@gmail.com,Securities,4.5,129004,24,16266,ACTIVE
268,cust16267@gmail.com,Pensions,5.0,26595,76,16267,ACTIVE
269,cust16268@gmail.com,Medium-term deposits,3.0,86618,54,16268,ACTIVE
270,cust16269@gmail.com,particular Plus Account,3.0,76736,41,16269,ACTIVE
271,cust16270@gmail.com,Home Account,4.5,73428,56,16270,ACTIVE
272,cust16271@gmail.com,Securities,4.0,95060,48,16271,ACTIVE
273,cust16273@gmail.com,Securities,5.0,34926,21,16273,ACTIVE
274,cust16274@gmail.com,Funds,5.0,125806,22,16274,ACTIVE
275,cust16276@gmail.com,Current Accounts,4.0,123566,59,16276,ACTIVE
276,cust16278@gmail.com,Funds,5.0,48324,59,16278,ACTIVE
277,cust16279@gmail.com,Current Accounts,5.0,56036,46,16279,ACTIVE
278,cust16280@gmail.com,Credit Card,4.0,88090,58,16280,ACTIVE
279,cust16281@gmail.com,Guarantees,5.0,42730,37,16281,ACTIVE
280,cust16282@gmail.com,Funds,4.0,11543,28,16282,ACTIVE
281,cust16283@gmail.com,particular Plus Account,2.0,100650,45,16283,ACTIVE
282,cust16287@gmail.com,Payroll,4.0,141506,37,16287,ACTIVE
283,cust16289@gmail.com,Derivada Account,3.0,145972,25,16289,ACTIVE
284,cust16290@gmail.com,Derivada Account,5.0,141191,51,16290,ACTIVE
285,cust16291@gmail.com,Medium-term deposits,4.0,54514,38,16291,ACTIVE
286,cust16294@gmail.com,Securities,4.0,82387,58,16294,ACTIVE
287,cust16296@gmail.com,Pensions,2.5,149461,77,16296,ACTIVE
288,cust16297@gmail.com,Home Account,5.0,48085,45,16297,ACTIVE
289,cust16306@gmail.com,Junior Account,3.0,11343,54,16306,ACTIVE
290,cust16307@gmail.com,particular Plus Account,5.0,100218,33,16307,ACTIVE
291,cust16308@gmail.com,Derivada Account,3.0,115495,37,16308,ACTIVE
292,cust16311@gmail.com,Home Account,5.0,125484,21,16311,ACTIVE
293,cust16324@gmail.com,Mortgage,5.0,67183,40,16324,ACTIVE
294,cust16327@gmail.com,particular Plus Account,4.0,68669,35,16327,ACTIVE
295,cust16329@gmail.com,Pensions,4.0,37874,72,16329,ACTIVE
296,cust16330@gmail.com,Payroll,4.0,115766,56,16330,ACTIVE
297,cust16338@gmail.com,Securities,3.0,29522,32,16338,ACTIVE
298,cust16339@gmail.com,Mas particular Account,3.5,89403,50,16339,ACTIVE
299,cust16341@gmail.com,Loans,4.5,26004,24,16341,ACTIVE
300,cust16355@gmail.com,Home Account,3.0,118308,43,16355,ACTIVE
301,cust16357@gmail.com,Long-term deposits,5.0,66176,31,16357,ACTIVE
302,cust16359@gmail.com,Short-term deposits,0.5,64138,46,16359,CHURN
303,cust16360@gmail.com,particular Account,4.5,61369,51,16360,ACTIVE
304,cust16361@gmail.com,Long-term deposits,4.5,113673,38,16361,ACTIVE
305,cust16362@gmail.com,Saving Account,4.0,143371,52,16362,ACTIVE
306,cust16364@gmail.com,Credit Card,4.5,85472,20,16364,ACTIVE
307,cust16365@gmail.com,Credit Card,5.0,44004,56,16365,ACTIVE
308,cust16368@gmail.com,Long-term deposits,3.0,30359,51,16368,ACTIVE
309,cust16404@gmail.com,particular Plus Account,2.0,68718,28,16404,ACTIVE
310,cust16405@gmail.com,Current Accounts,3.5,49905,51,16405,ACTIVE
311,cust16411@gmail.com,Loans,3.0,86844,53,16411,ACTIVE
312,cust16412@gmail.com,particular Plus Account,3.0,68678,46,16412,ACTIVE
313,cust16418@gmail.com,e-account,3.0,94523,59,16418,ACTIVE
314,cust16421@gmail.com,Mortgage,4.0,69645,31,16421,ACTIVE
315,cust16424@gmail.com,Long-term deposits,4.0,93815,48,16424,ACTIVE
316,cust16426@gmail.com,Home Account,0.5,124985,59,16426,CHURN
317,cust16445@gmail.com,Payroll,4.0,30056,31,16445,ACTIVE
318,cust16450@gmail.com,particular Account,5.0,31101,45,16450,ACTIVE
319,cust16456@gmail.com,particular Plus Account,4.0,118791,49,16456,ACTIVE
320,cust16463@gmail.com,Saving Account,5.0,16923,50,16463,ACTIVE
321,cust16465@gmail.com,Pensions,4.0,67956,60,16465,ACTIVE
322,cust16468@gmail.com,Mortgage,1.0,102675,19,16468,CHURN
323,cust16478@gmail.com,e-account,3.0,54438,45,16478,ACTIVE
324,cust16483@gmail.com,e-account,4.0,98573,38,16483,ACTIVE
325,cust16484@gmail.com,Pensions,4.0,36128,65,16484,ACTIVE
326,cust16489@gmail.com,particular Account,4.0,116295,38,16489,ACTIVE
327,cust16490@gmail.com,Payroll,3.5,61237,49,16490,ACTIVE
328,cust16491@gmail.com,Mas particular Account,4.0,136000,22,16491,ACTIVE
329,cust16494@gmail.com,e-account,3.5,70148,23,16494,ACTIVE
330,cust16496@gmail.com,Pensions,2.0,93667,63,16496,ACTIVE
331,cust16497@gmail.com,Direct Debit,3.5,81966,51,16497,ACTIVE
332,cust16498@gmail.com,e-account,3.0,35925,36,16498,ACTIVE
333,cust16499@gmail.com,Funds,4.0,139213,25,16499,ACTIVE
334,cust16500@gmail.com,Direct Debit,5.0,131454,37,16500,ACTIVE
335,cust16502@gmail.com,Saving Account,3.5,62291,59,16502,ACTIVE
336,cust16504@gmail.com,Pensions,4.0,76724,67,16504,ACTIVE
337,cust16506@gmail.com,Current Accounts,4.0,131351,36,16506,ACTIVE
338,cust16507@gmail.com,Short-term deposits,4.5,128135,23,16507,ACTIVE
339,cust16508@gmail.com,Long-term deposits,2.0,138911,56,16508,ACTIVE
340,cust16509@gmail.com,Current Accounts,3.0,128774,39,16509,ACTIVE
341,cust16510@gmail.com,Securities,4.0,104951,20,16510,ACTIVE
342,cust16511@gmail.com,Derivada Account,5.0,144658,46,16511,ACTIVE
343,cust16512@gmail.com,e-account,3.0,28509,19,16512,ACTIVE
344,cust16513@gmail.com,Securities,3.5,16704,31,16513,ACTIVE
345,cust16514@gmail.com,Direct Debit,4.0,89408,20,16514,ACTIVE
346,cust16515@gmail.com,Home Account,4.5,91754,18,16515,ACTIVE
347,cust16516@gmail.com,Pensions,3.5,66739,76,16516,ACTIVE
348,cust16517@gmail.com,Mas particular Account,3.5,51786,51,16517,ACTIVE
349,cust16518@gmail.com,Guarantees,3.0,64560,43,16518,ACTIVE
350,cust16521@gmail.com,Saving Account,2.0,106196,19,16521,ACTIVE
351,cust16522@gmail.com,Direct Debit,3.0,73548,58,16522,ACTIVE
352,cust16525@gmail.com,Payroll Account,2.0,100465,52,16525,ACTIVE
353,cust16529@gmail.com,e-account,5.0,129877,53,16529,ACTIVE
354,cust16530@gmail.com,Medium-term deposits,2.0,76552,42,16530,ACTIVE
355,cust16531@gmail.com,Saving Account,5.0,126253,52,16531,ACTIVE
356,cust16532@gmail.com,Junior Account,3.5,100977,46,16532,ACTIVE
357,cust16533@gmail.com,particular Account,2.0,136800,53,16533,ACTIVE
358,cust16534@gmail.com,particular Plus Account,2.5,149912,45,16534,ACTIVE
359,cust16535@gmail.com,Payroll Account,1.0,89790,44,16535,CHURN
360,cust16536@gmail.com,Saving Account,4.0,23218,22,16536,ACTIVE
361,cust16537@gmail.com,particular Plus Account,4.0,139255,57,16537,ACTIVE
362,cust16538@gmail.com,particular Account,4.0,66976,56,16538,ACTIVE
363,cust16539@gmail.com,Pensions,4.0,148788,78,16539,ACTIVE
364,cust16540@gmail.com,Securities,3.0,93962,27,16540,ACTIVE
365,cust16543@gmail.com,Short-term deposits,4.0,49523,49,16543,ACTIVE
366,cust16544@gmail.com,Pensions,4.0,45285,67,16544,ACTIVE
